ICAO.Code,IATA.Code,Airport.Name,City,Country,Latitude,Longitude
DFEL,XKA,N/A,KANTCHARI,BURKINA FASO,0,0
DFEM,N/A,N/A,TAMBAO,BURKINA FASO,0,0
DFEO,N/A,N/A,ZORGO,BURKINA FASO,0,0
DFEP,N/A,N/A,PAMA,BURKINA FASO,0,0
DFER,N/A,N/A,ARLI,BURKINA FASO,0,0
DFES,N/A,N/A,SEBBA,BURKINA FASO,0,0
DFET,TEG,N/A,TENKODOGO,BURKINA FASO,0,0
DFEY,N/A,N/A,OUARGAYE,BURKINA FASO,0,0
DFEZ,N/A,N/A,ZABRE,BURKINA FASO,0,0
DFFD,OUA,OUAGADOUGOU,OUAGADOUGOU,BURKINA FASO,12.353,-1.512
DFOA,N/A,N/A,DANO,BURKINA FASO,0,0
DFOB,BNR,N/A,BANFORA,BURKINA FASO,0,0
DFOD,DGU,N/A,DEDOUGOU,BURKINA FASO,0,0
DFOF,N/A,N/A,SAFANE,BURKINA FASO,0,0
DFOG,XGA,N/A,AMILCAR CABRAL DE GAQUA,BURKINA FASO,0,0
DFOH,N/A,N/A,HOUNDE,BURKINA FASO,0,0
DFOL,N/A,N/A,LOUMANA,BURKINA FASO,0,0
DFON,XNU,N/A,NOUNA,BURKINA FASO,0,0
DFOO,BOY,BOBO DIOULASSO,BOBO-DIOULASSO,BURKINA FASO,11.16,-4.331
DFOR,N/A,N/A,CORODARA,BURKINA FASO,0,0
DFOS,N/A,N/A,SIDERADOUGOU,BURKINA FASO,0,0
DFOT,N/A,N/A,TOUGAN,BURKINA FASO,0,0
DFOU,N/A,N/A,DIEBOUGOU,BURKINA FASO,0,0
DFOY,N/A,N/A,ARIBINDA,BURKINA FASO,0,0
DGAA,ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,5.603,-0.168
DGAD,N/A,N/A,ADA,GHANA,0,0
DGAH,N/A,N/A,HO,GHANA,0,0
DGAK,N/A,N/A,AKUSE,GHANA,0,0
DGAL,N/A,N/A,KETE-KRACHI,GHANA,0,0
DGAS,N/A,N/A,SALTPOND,GUYANA,0,0
DGAT,N/A,N/A,TEMA,GHANA,0,0
DGCY,CKY,N/A,CONAKRY,GHANA,0,0
DGKA,N/A,N/A,AKIM ODA,GHANA,0,0
DGKK,N/A,N/A,KOFORIDUA,GHANA,0,0
DGLB,N/A,N/A,BOLE,GHANA,0,0
DGLE,TML,TAMALE,TAMALE,GHANA,9.563,-0.863
DGLN,N/A,N/A,NAVRONGO,GHANA,0,0
